internal_search_term,instances
non-search,20213508
unknown at time of purchase,164285
refrigerators,36937
leaf_blowers,32912
microwaves,30867
dishwashers,25890
insulation,23373
blinds,22584
paint,22445
electric_fireplaces,20576
plywood,20516
ceiling_fans,20445
snow_blowers,19334
cabinets,18835
doors,18618
ceiling_fans_with_lights,18315
rugs,18304
toilets,17611
flooring,17411
laminate_flooring,16959
kitchen_cabinets,16937
lumber,16608
carpet,16528
bathroom_vanities_with_tops,15975
garage_door_openers,15116
ladders,14959
lighting,14811
water_heaters,14358
electric_water_heaters,14347
windows,14345
kitchen_faucets,14340
storm_doors,14057
tile,13528
dishwasher,13065
air_compressors,11845
washer_and_dryer_sets,11721
interior_doors,11249
area_rugs,11240
gas_water_heaters,11122
artificial_christmas_trees,11051
tile_flooring,10699
shower_doors,10672
outdoor_lighting,10611
shelving,10528
gas_leaf_blowers,10324
fireplaces,10173
paneling,9946
hot_water_heaters,9930
garbage_disposals,9814
mailboxes,9550
fire_pits,9477
drywall,9399
backsplash_tile,9376
leaf_blower,9344
vinyl_flooring,9275
water_heater,9257
light_fixtures,9251
kitchen_sinks,9088
led_light_bulbs,9015
fencing,8987
garage_doors,8897
mirrors,8883
bifold_closet_doors,8687
washers,8608
heaters,8491
closet_doors,8227
kitchen_lighting,8199
bathtubs,8136
shop_vac,8024
vanity_cabinets,8021
countertops,8009
washing_machines,7967
bathroom_vanity_cabinets,7800
curtains,7789
sliding_closet_doors,7754
storage_cabinets,7704
space_heaters,7690
counter_depth_refrigerators,7664
generators,7476
dryers,7396
8x10_area_rugs,7270
chandeliers,7269
wall_tile,7260
ladder,7238
lawn_mowers,7224
faucets,7151
microwave,7097
washer,7088
clearance,7049
cabinet_knobs,7021
freezers,7001
floor_lamps,6988
thermostats,6988
storage_sheds,6958
water_softeners,6940
cabinet_pulls,6895
toilet,6885
2x4x8,6851
fire_pit,6830
hardwood_flooring,6821
closet_organizers,6805
delta,6803
ceiling_fan,6771
bathroom_faucets,6762
curtain_rods,6732
grills,6715
christmas_inflatables,6703
ceiling_tiles,6683
sheds,6676
fireplace,6607
range_hoods,6574
siding,6558
stoves,6558
pressure_washers,6551
wood,6513
window_blinds,6506
table_saw,6502
samsung_refrigerators,6474
shower_faucets,6473
exterior_doors,6472
medicine_cabinets,6402
shelves,6371
light_bulbs,6367
bathroom_vanity,6330
screen_doors,6319
shingles,6317
gutters,6281
shower_stalls,6254
mulch,6244
refrigerator,6233
gas_ranges,6195
electric_fireplace,6195
table_saws,6155
dewalt,5987
whirlpool_refrigerators,5966
chest_freezers,5937
gas_backpack_leaf_blowers,5893
pvc_pipe,5877
fence,5857
outdoor_christmas_decorations,5835
microwave_over_the_range,5806
pavers,5804
bosch_dishwashers,5769
framed_wall_mirrors,5763
crown_moulding,5755
cordless_electric_leaf_blowers,5657
metal_roofing,5628
snow_blower,5608
fireplace_doors,5591
dehumidifiers,5589
iris,5531
over_the_range_microwaves,5509
door_knobs,5492
chainsaws,5481
prelit_artificial_christmas_trees,5479
pendant_lighting,5471
patio_furniture,5435
vinyl_siding,5409
air_compressor,5398
french_doors,5392
humidifiers,5372
tarps,5367
fence_panels,5354
vanity,5301
freezer,5301
floor_tile,5250
tile_backsplashes,5241
shed,5216
tool_boxes,5181
dryer,5172
french_door_refrigerators,5086
toilet_seats,5079
vacuum_cleaners,5034
christmas_light_show,5026
grout,5014
shutters,5002
shop_vac_wet_dry_vacuums,4964
propane_heaters,4960
gas_stoves,4945
backsplash,4937
sheetrock,4925
bathroom_vanity_lights,4924
framed_bathroom_mirrors,4918
baseboard_moulding,4915
gas_grills,4913
2x4,4909
